kepid,tce_plnt_num,pred_class,norm_kepid
003241199,01,0,003241199
003241199,02,0,003241199
003241199,03,0,003241199
003241248,01,0,003241248
003241248,02,0,003241248
003241344,01,0,003241344
003241344,02,0,003241344
003241557,01,0,003241557
003241604,01,0,003241604
003241619,01,0,003241619
003241619,02,0,003241619
003241662,01,0,003241662
003241685,01,0,003241685
003241685,02,0,003241685
003244792,01,1,003244792
003245000,01,0,003245000
003245420,01,0,003245420
003245420,02,0,003245420
003245420,03,0,003245420
003245638,01,0,003245638
003245969,01,1,003245969
003246083,01,0,003246083
003246083,02,0,003246083
003246782,01,0,003246782
003246867,01,1,003246867
003246890,01,0,003246890
003246890,02,0,003246890
003246890,03,0,003246890
003246890,04,0,003246890
003246890,05,0,003246890
003246984,01,1,003246984
003246984,02,0,003246984
003246984,03,0,003246984
003247039,01,0,003247039
003247039,02,0,003247039
003247268,01,1,003247268
003247268,02,1,003247268
003247294,01,0,003247294
003247294,02,0,003247294
003247306,01,0,003247306
003247306,02,0,003247306
003247396,01,0,003247396
003247404,01,1,003247404
003247503,01,0,003247503
003247503,02,0,003247503
003247616,01,0,003247616
003247616,02,0,003247616
003247616,03,0,003247616
003248019,01,1,003248019
003248019,02,0,003248019
003248033,01,0,003248033
003248332,01,0,003248332
003248501,01,1,003248501
003249334,01,1,003249334
003323168,01,0,003323168
003323168,02,0,003323168
003323289,01,0,003323289
003323289,02,0,003323289
003323887,01,1,003323887
003323887,02,0,003323887
003324069,01,1,003324069
003324644,01,0,003324644
003324644,02,0,003324644
003324986,01,0,003324986
003326377,01,1,003326377
003326377,02,1,003326377
003326428,01,0,003326428
003326428,02,0,003326428
003326428,03,0,003326428
003326428,04,0,003326428
003327980,01,0,003327980
003327992,01,0,003327992
003327992,02,0,003327992
003327993,01,0,003327993
003328026,01,0,003328026
003328027,01,0,003328027
003328052,01,0,003328052
003328080,01,1,003328080
003329204,01,1,003329204
003329643,01,0,003329643
003329839,01,0,003329839
003330684,01,0,003330684
003330688,01,0,003330688
003335813,01,0,003335813
003335816,01,0,003335816
003336055,01,0,003336055
003336283,01,0,003336283
003336283,02,0,003336283
003336283,03,0,003336283
003336283,04,0,003336283
003336476,01,0,003336476
003336765,01,0,003336765
003336845,01,0,003336845
003336845,02,0,003336845
003336937,01,0,003336937
003337002,01,0,003337002
003337002,02,0,003337002
003337061,01,0,003337061
003337351,01,0,003337351
